;meta[language=en]
; id      |key(hex)|key(str)| text
2115984500|00000000||I'll make you pay for this.
2115984501|00000000||You influenced the fate of Essi for your simple intentions?
2115984502|00000000||You! Here!
2115984503|00000000||What an indelicate way to welcome an acquaintance.
2115984504|00000000||Do you have anything to do with what happened to Essi?
2115984505|00000000||Me?
2115984506|00000000||Have I ever had anything to do with someone's doom…
2115984507|00000000||Even a being like me can't be sure how things will turn out if left to their own devices.
2115984508|00000000||This poor girl could represent a different path for your destiny.
2115984509|00000000||This would have upset me.
2115984510|00000000||And I don't like to be upset.
2115984511|00000000||In this type of situation,
2115984512|00000000||it can happen that I give a helping hand to fate
2115984513|00000000||to make sure that it will not come to disturb my intentions…
2115984514|00000000||I'll make you pay for this.
2115984515|00000000||It's a challenge?
2115984516|00000000||I like challenges.
2115984517|00000000||But I'm of a different kind from the monsters you ox in your wanderings.
2115984518|00000000||You can't do anything against me.
2115984519|00000000||I will find a way.
2115984520|00000000||Don't exhaust yourself too much unnecessarily… I could still need your services.
2115984521|00000000||Don't worry, we'll meet again…
2115984522|00000000||But only when I'll decide.
2115984523|00000000||You influenced the fate of Essi for your simple "intentions"?
2115984524|00000000||It's just a side effect.
2115984525|00000000||My acts are simply guided by my interests.
